2026-02-02 22:17:41 | INFO     | WebAPI               | Logger başlatıldı: WebAPI
2026-02-02 22:17:43 | INFO     | WebAPI               | Logger başlatıldı: WebAPI
2026-02-02 22:21:02 | WARNING  | WebAPI               | Altın hatası: 'currentTradingPeriod'
2026-02-02 22:21:06 | WARNING  | WebAPI               | Altın hatası: 'currentTradingPeriod'
2026-02-02 22:21:57 | WARNING  | WebAPI               | Altın hatası: 'currentTradingPeriod'
2026-02-02 22:27:01 | INFO     | WebAPI               | Logger başlatıldı: WebAPI
2026-02-02 22:34:57 | INFO     | WebAPI               | Logger başlatıldı: WebAPI
2026-02-02 22:35:41 | INFO     | WebAPI               | Logger başlatıldı: WebAPI
2026-02-02 22:39:56 | INFO     | WebAPI               | Logger başlatıldı: WebAPI
2026-02-02 22:40:15 | WARNING  | WebAPI               | Altın hatası: 'currentTradingPeriod'
2026-02-02 22:40:19 | WARNING  | WebAPI               | Altın hatası: 'currentTradingPeriod'
2026-02-02 22:40:32 | WARNING  | WebAPI               | Altın hatası: 'currentTradingPeriod'
2026-02-02 22:40:48 | WARNING  | WebAPI               | Altın hatası: 'currentTradingPeriod'
2026-02-02 22:41:08 | WARNING  | WebAPI               | Altın hatası: 'currentTradingPeriod'
2026-02-20 11:07:37 | INFO     | WebAPI               | Logger başlatıldı: WebAPI
2026-02-20 11:19:14 | INFO     | WebAPI               | Logger başlatıldı: WebAPI
2026-02-20 11:19:40 | WARNING  | WebAPI               | Altın hatası: 'currentTradingPeriod'
2026-02-20 11:19:44 | WARNING  | WebAPI               | Altın hatası: 'currentTradingPeriod'
2026-02-20 11:21:27 | WARNING  | WebAPI               | Altın hatası: 'currentTradingPeriod'
2026-02-20 11:27:48 | WARNING  | WebAPI               | Altın hatası: 'currentTradingPeriod'
2026-02-20 11:31:56 | INFO     | WebAPI               | Logger başlatıldı: WebAPI
2026-02-20 11:33:04 | WARNING  | WebAPI               | Altın hatası: 'currentTradingPeriod'
2026-02-20 11:34:01 | WARNING  | WebAPI               | Altın hatası: 'currentTradingPeriod'
2026-02-20 11:35:00 | WARNING  | WebAPI               | Altın hatası: 'currentTradingPeriod'
2026-02-20 11:38:13 | INFO     | WebAPI               | Logger başlatıldı: WebAPI
2026-02-20 11:38:48 | INFO     | WebAPI               | Logger başlatıldı: WebAPI
2026-02-20 11:39:02 | WARNING  | WebAPI               | Altın hatası: 'currentTradingPeriod'
2026-02-20 11:39:25 | WARNING  | WebAPI               | Altın hatası: 'currentTradingPeriod'
2026-02-20 11:40:03 | WARNING  | WebAPI               | Altın hatası: 'currentTradingPeriod'
2026-02-20 11:40:25 | WARNING  | WebAPI               | Altın hatası: 'currentTradingPeriod'
2026-02-20 11:40:27 | ERROR    | WebAPI               | Performans API hatası: Recursive use of cursors not allowed.
2026-02-20 11:40:39 | INFO     | WebAPI               | Logger başlatıldı: WebAPI
2026-02-20 11:40:41 | INFO     | WebAPI               | Logger başlatıldı: WebAPI
2026-02-20 11:40:48 | WARNING  | WebAPI               | Altın hatası: 'currentTradingPeriod'
2026-02-20 11:40:50 | WARNING  | WebAPI               | Altın hatası: 'currentTradingPeriod'
2026-02-20 11:41:06 | WARNING  | WebAPI               | Altın hatası: 'currentTradingPeriod'
2026-02-20 11:41:25 | WARNING  | WebAPI               | Altın hatası: 'currentTradingPeriod'
2026-02-20 11:41:47 | WARNING  | WebAPI               | Altın hatası: 'currentTradingPeriod'
2026-02-20 11:42:25 | WARNING  | WebAPI               | Altın hatası: 'currentTradingPeriod'
2026-02-20 11:42:40 | ERROR    | WebAPI               | Chat API hatası: 400 Bad Request: Failed to decode JSON object: 'utf-8' codec can't decode byte 0xf6 in position 34: invalid start byte
2026-02-20 11:42:47 | WARNING  | WebAPI               | Altın hatası: 'currentTradingPeriod'
2026-02-20 11:43:27 | WARNING  | WebAPI               | Altın hatası: 'currentTradingPeriod'
2026-02-20 11:43:47 | WARNING  | WebAPI               | Altın hatası: 'currentTradingPeriod'
2026-02-20 11:44:48 | WARNING  | WebAPI               | Altın hatası: 'currentTradingPeriod'
2026-02-20 11:45:48 | WARNING  | WebAPI               | Altın hatası: 'currentTradingPeriod'
2026-02-20 11:46:33 | WARNING  | WebAPI               | Altın hatası: 'currentTradingPeriod'
2026-02-20 11:46:46 | WARNING  | WebAPI               | Altın hatası: 'currentTradingPeriod'
2026-02-20 11:47:31 | WARNING  | WebAPI               | Altın hatası: 'currentTradingPeriod'
2026-02-20 11:47:33 | WARNING  | WebAPI               | Altın hatası: 'currentTradingPeriod'
2026-02-20 11:47:47 | WARNING  | WebAPI               | Altın hatası: 'currentTradingPeriod'
2026-02-20 11:48:18 | WARNING  | WebAPI               | Altın hatası: 'currentTradingPeriod'
2026-02-20 11:48:33 | WARNING  | WebAPI               | Altın hatası: 'currentTradingPeriod'
2026-02-20 11:48:36 | WARNING  | WebAPI               | Altın hatası: 'currentTradingPeriod'
2026-02-20 11:48:45 | INFO     | WebAPI               | Logger başlatıldı: WebAPI
2026-02-20 11:48:48 | INFO     | WebAPI               | Logger başlatıldı: WebAPI
2026-02-20 11:57:34 | INFO     | WebAPI               | Logger başlatıldı: WebAPI
2026-02-20 11:57:35 | INFO     | WebAPI               | Logger başlatıldı: WebAPI
